zcta,lat,lon,state
20224,38.8921,-77.0306,DC
01810,42.6583,-71.1368,MA
30341,33.8896,-84.2820,GA
78741,30.2213,-97.7279,TX
11742,40.8118,-73.0432,NY
41011,39.0877,-84.5080,KY
93727,36.7587,-119.6842,CA
64108,39.0865,-94.5838,MO
38118,35.0571,-89.9420,TN
84404,41.2713,-112.0183,UT
19104,39.9559,-75.1899,PA
60604,41.8786,-87.6292,IL
80202,39.7489,-104.9878,CO
98174,47.6060,-122.3348,WA
96850,21.3070,-157.8583,HI
99508,61.1879,-149.8631,AK
00968,18.3625,-66.1128,PR
33130,25.7713,-80.1937,FL
21201,39.2897,-76.6160,MD
23219,37.5419,-77.4360,VA
07102,40.7419,-74.1720,NJ
